"","unit","airpol","sect","locationvar","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990"
"1","T","NOX","TOT_NAT","AT",162317,164574,169871,179631,178912,195235,211989,220619,234951,233113,235267,225897,219988,210205,204774,212983,200800,212332,194105,194671,201689,210572,223211,215467
"2","T","NOX","TOT_NAT","BE",207680,216111,234976,252299,208118,234215,264714,275015,319755,297882,291623,293840,304302,346559,310512,330312,325966,337338,384184,347290,346863,353963,367388,413000
"3","T","NOX","TOT_NAT","BG",122573,139586,153929,138543,139366,160843,166004,176102,179056,169878,169850,167595,146970,144536,136654,152999,158639,163983,165364,156348,161434,160080,186419,264099
"4","T","NOX","TOT_NAT","CH",72304,72964,73030,77626,79646,85400,87133,90279,93159,93882,95715,98271,104437,107840,110302,110599,111051,114925,118962,122479,123882,135174,141701,144019
"5","T","NOX","TOT_NAT","CY",16164,21333,21222,18504,19948,20366,21715,21238,21442,21523,21982,21702,21655,22300,21025,20628,20273,20088,19577,20789,19636,19345,17269,17117
"6","T","NOX","TOT_NAT","CZ",181094,210073,225440,238565,251338,261112,283791,282186,277846,332208,324224,318226,331735,395646,389947,412897,469276,445376,429194,449780,689714,707331,731340,741195
"7","T","NOX","TOT_NAT","DE",1269182,1270161,1310814,1333739,1310058,1410817,1483564,1557080,1573212,1648462,1715135,1770095,1848035,1925447,1981136,2005669,2029223,2095292,2167093,2199554,2386925,2492818,2639476,2882281
"8","T","NOX","TOT_NAT","DK",123865,128082,137946,145343,150456,170110,187282,201151,201561,209821,225753,217321,221286,224307,236979,255727,277499,323942,289620,307489,304491,304337,348153,299274
"9","T","NOX","TOT_NAT","EE",29721,32060,35563,36445,29993,35534,38330,35194,36411,38944,41620,40850,39913,37450,36530,38076,40947,42132,38778,41458,38917,42852,67944,73641
"10","T","NOX","TOT_NAT","GR",238621,258609,296039,319444,379525,392195,414080,412730,416544,398883,393322,383199,382083,359217,367520,368997,346314,332826,328840,348341,339745,342108,335683,325888
"11","T","NOX","TOT_NAT","ES",812152,919636,953295,959655,1035197,1170883,1359552,1366850,1421197,1436943,1402124,1401660,1360040,1397842,1385114,1347654,1361189,1370273,1412417,1423775,1399065,1430774,1390073,1340939
"12","T","NOX","TOT_NAT","FI",144877,146527,153551,166518,154736,167939,186614,187666,169414,194717,214603,201050,211228,201447,212795,243538,251248,262025,254278,279410,278027,279639,275459,285371
"13","T","NOX","TOT_NAT","FR",989521,1007586,1035980,1096361,1115530,1197564,1297215,1359093,1430064,1472253,1502867,1537776,1567798,1609995,1653326,1708645,1673863,1728957,1745334,1790782,1838383,1940141,1947183,1911211
"14","T","NOX","TOT_NAT","HR",55749,55541,60275,64413,72747,80283,83112,80703,81852,83037,85083,85927,83271,83567,88041,84587,80995,78979,73697,73047,71646,71816,76494,105279
"15","T","NOX","TOT_NAT","HU",120567,124073,139998,154017,156718,163640,166603,171555,169311,204101,206861,215947,209013,206399,218779,216597,221037,219329,213465,211031,206320,219101,242107,283396
"16","T","NOX","TOT_NAT","IE",79064,78498,76362,85014,92701,116337,129099,131913,135878,134078,131287,131037,137712,137391,134344,133607,128649,132718,130025,133517,134999,143784,135517,133903
"17","T","NOX","TOT_NAT","IS",20775,20862,21162,22687,25096,24842,26748,25716,25919,27635,27238,27490,25978,27628,28505,29239,30241,31036,29714,30371,30654,29524,27935,27673
"18","T","NOX","TOT_NAT","IT",820574,863347,949784,968796,982328,1055909,1128744,1179225,1244272,1305366,1347535,1370620,1423160,1455824,1556401,1645710,1770302,1844711,1920049,1948966,2047819,2142860,2109822,2047255
"19","T","NOX","TOT_NAT","LI",704,696,650,631,654,654,656,691,694,668,709,663,657,704,723,720,696,678,687,709,735,785,795,766
"20","T","NOX","TOT_NAT","LT",46166,47707,46106,49554,47948,55069,53562,56581,54295,52679,51947,51538,51777,50741,52374,64577,64517,62927,61822,58895,64761,86887,124661,128392
"21","T","NOX","TOT_NAT","LU",31434,34614,38889,39457,38845,44938,49084,53959,58799,56249,47478,43539,43300,41536,37036,36246,37169,36964,36606,42049,45171,47278,46014,41510
"22","T","NOX","TOT_NAT","LV",34044,34174,33449,38417,37855,40174,44926,44440,44372,45903,47041,45432,46752,44054,44997,46207,49828,51720,52312,56753,62354,70686,86940,94208
"23","T","NOX","TOT_NAT","MT",4872,8650,7852,8114,8971,9024,9233,9363,9347,9701,9802,9211,9341,8653,9552,9223,9148,9103,8848,9060,8685,8526,8117,7551
"24","T","NOX","TOT_NAT","NL",239619,247538,257986,274184,274733,299320,310484,327172,340918,353705,369212,375259,388058,395443,412959,412363,430382,455380,474744,488871,516187,535774,555949,573717
"25","T","NOX","TOT_NAT","NO",154437,163090,170037,177204,175058,185193,195810,194256,196130,195728,194597,195053,200302,202010,213650,211912,213288,204776,195236,192835,187770,183754,184404,190794
"26","T","NOX","TOT_NAT","PL",798233,819211,842596,860612,808931,829272,860590,855765,850881,854641,828273,806167,838887,844090,920508,942953,1043433,1100752,1063097,1105000,1120000,1130000,1205000,1280000
"27","T","NOX","TOT_NAT","PT",161476,162320,169159,177103,191458,203048,228979,233908,254697,248922,244537,267325,260851,261762,265839,258579,251561,252201,264526,253780,254921,263583,244719,233539
"28","T","NOX","TOT_NAT","RO",218823,234972,239540,231883,248747,297408,294711,353376,317206,319934,319788,306440,305796,282706,273315,319310,367462,384332,340835,338625,338043,374087,394595,456902
"29","T","NOX","TOT_NAT","SE",125915,131483,139371,149568,147723,156950,165549,172178,175599,180042,186323,189770,197464,207175,214852,220350,229313,240221,245500,253358,249647,263572,273277,269154
"30","T","NOX","TOT_NAT","SI",42893,45888,46895,47132,48019,55539,50853,50418,49547,50947,52127,53929,53368,52452,51847,58703,64101,63675,60309,61062,58800,56114,57367,62688
"31","T","NOX","TOT_NAT","SK",79582,80990,85230,88595,84204,93585,95614,96354,101863,99052,97801,100208,107764,107417,120315,132526,127168,135276,178841,171108,181299,190310,204145,226245
"32","T","NOX","TOT_NAT","GB",1019674,1072870,1051300,1123000,1148512,1324863,1471244,1541663,1586452,1607023,1660865,1678908,1758286,1797728,1866722,1983604,2041786,2212549,2316059,2432227,2542558,2709428,2771804,2880397
