unit,airpol,airemsect,geo\time	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 
MIO_T,GHG,CRF_1,AT	55.09458 	55.4715 	57.74238 	60.07249 	57.08156 	60.23501 	60.71967 	64.02904 	67.37428 	66.97025 	66.69618 	60.7768 	59.54195 	55.30434 	55.75544 	56.96459 	57.1535 	58.63627 	54.43896 	51.95695 	52.30877 	52.0164 	56.59238 	52.9056 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1,BE	87.68217 	88.1196 	89.87227 	99.15327 	94.43035 	101.53668 	99.25649 	102.24335 	105.06907 	107.6059 	107.21939 	105.9246 	105.99241 	105.52748 	104.6607 	110.01874 	105.63729 	111.55972 	107.20637 	107.21212 	105.11766 	105.16715 	106.76661 	104.11994 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1,BG	41.12251 	46.82904 	51.64157 	46.50047 	44.45877 	50.16199 	51.04453 	47.44037 	46.41121 	45.63787 	47.23448 	43.44118 	45.54146 	41.9336 	43.45507 	49.46698 	50.30586 	52.90496 	52.20433 	52.15591 	55.3303 	55.06711 	57.29869 	75.11191 	82.51909 	82.9059 	: 	: 	: 
MIO_T,GHG,CRF_1,CY	5.74274 	6.7166 	7.23017 	7.51137 	7.74394 	7.82371 	7.65687 	7.33101 	7.15233 	6.97082 	6.80615 	6.41592 	6.25735 	6.36876 	6.12585 	5.87584 	5.53349 	5.3748 	5.11948 	5.21574 	5.00402 	4.82582 	4.49505 	3.95313 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1,CZ	100.87657 	105.06902 	109.20185 	110.72768 	109.68139 	115.3089 	119.97253 	119.81879 	119.13244 	119.71675 	119.86372 	117.19966 	120.35431 	120.16981 	111.75279 	118.21563 	123.67088 	128.14387 	126.40483 	125.39425 	133.25399 	138.4887 	143.94316 	157.2538 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1,DE	813.43922 	790.28129 	782.86154 	804.20787 	764.67518 	822.66283 	817.16321 	844.15024 	834.62337 	854.52389 	872.07851 	876.71616 	893.04392 	873.03705 	874.95089 	899.26238 	908.88642 	939.84759 	918.6931 	920.50913 	942.83861 	951.86679 	1000.47864 	1037.16478 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1,DK	41.00496 	39.19051 	43.81873 	49.03793 	48.56445 	50.5839 	53.84431 	58.67603 	50.78155 	54.46793 	60.02958 	54.79944 	55.22374 	53.52858 	57.99511 	60.41526 	64.50497 	73.99094 	60.58379 	63.64969 	59.59922 	57.26503 	63.08471 	52.39683 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1,EE	19.05427 	16.85611 	18.23223 	17.74561 	14.10296 	16.70037 	18.21702 	15.32955 	15.96799 	16.6754 	16.56337 	14.8034 	15.09101 	14.7419 	15.09302 	16.19572 	17.85044 	18.34205 	17.5944 	19.23025 	18.63117 	23.81311 	32.94942 	35.94708 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1,EL	78.95327 	87.38823 	91.46166 	92.76044 	99.924 	104.37482 	107.63014 	105.17788 	106.44078 	103.38823 	102.89409 	99.00561 	99.18148 	96.7424 	91.9456 	92.48328 	87.75524 	83.2213 	81.00318 	80.93849 	78.71357 	79.07596 	77.0638 	76.9147 	: 	: 	: 	: 	: 
MIO_T,GHG,CRF_1,ES	239.84327 	265.80306 	268.77238 	266.35938 	280.65325 	315.15289 	342.61962 	335.22845 	344.89146 	330.37323 	313.80624 	310.17373 	290.8153 	290.79927 	278.21969 	255.84687 	249.00129 	237.03079 	249.13235 	235.50106 	225.234 	233.40763 	222.76047 	212.35113 	: 	: 	: 	: 	: 
