"","unit","airpol","sect","geo","time","emission","year"
"1","T","SOX","SE1_EPD","FR",1990-02-11,575409,1990
"2","T","SOX","SE1_EUI","FR",1990-02-11,382273,1990
"3","T","SOX","SE1_RD","FR",1990-02-11,143387,1990
"4","T","SOX","SE2_IP","FR",1990-02-11,32547,1990
"5","T","SOX","SE1_EPD","FR",1991-02-11,558766,1991
"6","T","SOX","SE1_EUI","FR",1991-02-11,456841,1991
"7","T","SOX","SE1_RD","FR",1991-02-11,148143,1991
"8","T","SOX","SE2_IP","FR",1991-02-11,30179,1991
"9","T","SOX","SE1_EPD","FR",1992-02-11,552414,1992
"10","T","SOX","SE1_EUI","FR",1992-02-11,357426,1992
"11","T","SOX","SE1_RD","FR",1992-02-11,155245,1992
"12","T","SOX","SE2_IP","FR",1992-02-11,25165,1992
"13","T","SOX","SE1_EPD","FR",1993-02-11,444446,1993
"14","T","SOX","SE1_EUI","FR",1993-02-11,301868,1993
"15","T","SOX","SE1_RD","FR",1993-02-11,157442,1993
"16","T","SOX","SE2_IP","FR",1993-02-11,21098,1993
"17","T","SOX","SE1_EPD","FR",1994-02-11,415705,1994
"18","T","SOX","SE1_EUI","FR",1994-02-11,316900,1994
"19","T","SOX","SE1_RD","FR",1994-02-11,150565,1994
"20","T","SOX","SE2_IP","FR",1994-02-11,20286,1994
"21","T","SOX","SE1_EPD","FR",1995-02-11,425979,1995
"22","T","SOX","SE1_EUI","FR",1995-02-11,291310,1995
"23","T","SOX","SE1_RD","FR",1995-02-11,115649,1995
"24","T","SOX","SE2_IP","FR",1995-02-11,20366,1995
"25","T","SOX","SE1_EPD","FR",1996-02-11,431454,1996
"26","T","SOX","SE1_EUI","FR",1996-02-11,284349,1996
"27","T","SOX","SE1_RD","FR",1996-02-11,99086,1996
"28","T","SOX","SE2_IP","FR",1996-02-11,19612,1996
"29","T","SOX","SE1_EPD","FR",1997-02-11,377096,1997
"30","T","SOX","SE1_EUI","FR",1997-02-11,272664,1997
"31","T","SOX","SE1_RD","FR",1997-02-11,45433,1997
"32","T","SOX","SE2_IP","FR",1997-02-11,20399,1997
"33","T","SOX","SE1_EPD","FR",1998-02-11,422202,1998
"34","T","SOX","SE1_EUI","FR",1998-02-11,244392,1998
